node   1  (   0,    0) (   4,    3) (   5,    4) (   3,    5) (   1,    6) (   1,    8) (   1,    1) (   1,    0) (   1,    2) (  10,    3)
          (   1,    1) (   1,    4) (   1,    0) (   1,    2) (   1,    1) (   1,    2) (   1,    3) (   1,    2) (  10,    1) (   1,    1)
          (   1,    3) (   1,    2) (   1,    1) (   1,    0) (   1,    2) (  10,    3) (   1,    3) (   1,    3) (   1,    1) (   1,    2)
          (   1,    2) (   1,    2) (   1,    3) (   1,    1) (   1,    3) (   1,    3) (   1,    3) (   1,    2) (   1,    3) (   1,    0)
          (   1,    2) (   1,    0) (   1,    1) (  10,    1) (   1,    2) (   1,    2) (   1,    2) (   1,    2) (   1,    1) (   1,    4)
          (   1,    5) (   9,    2) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   7,    1) (   1,    1) (   1,    3) (   1,    1)
          (   1,    1) (   9,    2) (   1,    6) (   1,    1) (   9,    2) (   1,    3) (   1,    5) (   0,    4) (   1,    3) (   1,    1)
          (  10,    1) (   1,    1) (   1,    1) (   1,    3) (  10,    2) (   1,    3) (   1,    3) (   1,    0) (   1,    1) (   1,    3)
          (   1,    2) (   1,    2) (   1,    0) (   1,    4) (   8,    2) (   0,    4) (   1,    3) (   0,    2) (   1,    1) (   1,    1)
          (   1,    1) (   9,    0) (   1,    4) (   1,    3) (   1,    1) (   1,    3) (   1,    1) (   1,    4) (   1,    3) (   0,    3)
          (   1,    3) (   1,    2) (   1,    3) (   1,    3) (   1,    2) (   8,    0) (   1,    4) (   1,    4) (   9,    1) (   8,    4)
          (   8,    2) (   1,    1) (   1,    1) (   1,    1) (   0,    3) (   1,    3) (   1,    0) (   1,    1) (   1,    1) (   1,    2)
          (   1,    4) (   1,    3) (   0,    2) (   1,    2) (   9,    2) (   0,    3) (   1,    2) (   8,    1) (   1,    2) (   1,    1)
          (   1,    2) (   1,    1) (   0,    2) (   1,    2) (   1,    2) (   1,    2) (   1,    1) (   1,    3) (   1,    1) (   1,    5)
          (   1,    2) (   1,    1) (   1,    0) (   1,    4) (   0,    3) (   9,    2) (   1,    4) (   1,    0) (   1,    1) (   1,    0)
          (   1,    2) (   1,    0) (   1,    2) (   1,    3) (   1,    2) (   1,    1) (   0,    3) (   1,    2) (   1,    2) (   1,    2)
          (   1,    2) (   1,    3) (   1,    2) (   0,    3) (   1,    2) (   1,    2) (   1,    1) (   1,    2) (   1,    2) (   1,    1)
          (   0,    4) (   1,    1) (   1,    0) (   1,    3) (   1,    1) (   1,    4) (   1,    2) (   1,    1) (   1,    1) (   1,    1)
          (   7,    4) (   9,    1) (   9,    1) (   1,    3) (   1,    2) (   1,    2) (   1,    5) (   1,    2) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   0,    2) (   1,    4) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    2) (   1,    3)
          (   1,    2) (   1,    2) (   1,    3) (   1,    1) (   1,    1) (   1,    2) (   1,    1) (   1,    2) (   1,    3) (   1,    2)
          (   8,    1) (   8,    0) (   8,    1) (   1,    3) (   1,    1) (   9,    0) (   1,    1) (   8,    1) (   0,    3) (   1,    3)
          (   1,    2) (   8,    2) (   1,    2) (   1,    3) (   1,    2) (   0,    1) (   1,    1) (   1,    5) (   1,    4) (   1,    2)
          (   1,    1) (   8,    2) (   1,    4) (   0,    2) (   1,    1) (   1,    1) (   1,    3) (   1,    2) (   9,    0) (   1,    3)
